,id,text,predictions,prompt,output,questions,question
97,97,am i okay to take those vacation days,pto_request;pto_request_status,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto request Option 2: pto request status Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto request Option 2: pto request status Question: Option 1: pto request Option 2: pto request status Question: I understand you are requesting PTO. Is it a request or the status of your request? **END** Option 1: pto request Option 2: pto request status,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: pto request Option 2: pto request status ; I understand you are requesting PTO. Is it a request or the status of your request?,Option 1: pto request Option 2: pto request status
98,98,i'm trying to raise my credit score can you tell me what it is now,improve_credit_score;credit_score,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question: I understand you want to improve your credit score. What is your current credit score? **END** Set 4: Option 1: credit report Option 2: credit score Question: I understand you want to check your credit report. Do you also want to check your credit,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you want to improve your credit score. What is your current credit score? ; I understand you want to check your credit report. Do you also want to check your credit,I understand you want to improve your credit score. What is your current credit score?
99,99,am i eligible for a new credit card,new_card;credit_limit_change,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: new card Option 2: credit limit change Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: new card Option 2: credit limit change Question: I understand you are looking for a new card or a change in your credit limit. Which one are you looking for? **END** Set 4: Option 1: card expired Option 2: card lost Question: I understand you need a new card. Was your,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are looking for a new card or a change in your credit limit. Which one are you looking for? ; I understand you need a new card. Was your,I understand you are looking for a new card or a change in your credit limit. Which one are you looking for?
100,100,how do i apply do get myself a visa,international_visa;new_card,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: international visa Option 2: new card Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: international visa Option 2: new card Question: I understand you have an international visa card. Is this your new card or not? **END** Set 4: Option 1: card expired Option 2: card not expired Question: I understand your card is expired. Is this correct or not,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an international visa card. Is this your new card or not? ; I understand your card is expired. Is this correct or not,I understand you have an international visa card. Is this your new card or not?
101,101,find out if there's a new credit card that suits me,credit_limit;expiration_date;new_card;credit_limit_change;apr,,,,
102,102,what's it take to get a mastercard,credit_limit;new_card;application_status;credit_limit_change;apr,,,,
103,103,sorry i missed that,repeat;goodbye;thank_you,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: repeat Option 2: goodbye Option 3: thank you Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: repeat Option 2: goodbye Option 3: thank you Question: I understand you are repeating this message. Is it ""goodbye"" or ""thank you""? **END**","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you are repeating this message. Is it ""goodbye"" or ""thank you""?","I understand you are repeating this message. Is it ""goodbye"" or ""thank you""?"
104,104,where can i find information on oil changes for my car,oil_change_how;oil_change_when,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: oil change how Option 2: oil change when Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: oil change how Option 2: oil change when Question: Option 1: oil change what Option 2: oil change why Question: What type of oil do you need to change? **END** Option 1: oil change how Option 2: oil change when Question: When is the best time to change your oil? **,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: oil change what Option 2: oil change why ; What type of oil do you need to change? ; When is the best time to change your oil? **,Option 1: oil change what Option 2: oil change why
105,105,what's my oil change status,last_maintenance;oil_change_when;schedule_maintenance,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: last maintenance Option 2: oil change when Option 3: schedule maintenance Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: last maintenance Option 2: oil change when Option 3: schedule maintenance Question: Option 1: I understand you need to schedule maintenance. When was the last time you had maintenance done? **END** Option 2: I understand you need to schedule an oil change. When is your next oil change scheduled for","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; Option 1: I understand you need to schedule maintenance. When was the last time you had maintenance done?",Option 1: I understand you need to schedule maintenance. When was the last time you had maintenance done?
106,106,roger that,yes;goodbye;thank_you,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: yes Option 2: goodbye Option 3: thank you Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: yes Option 2: goodbye Option 3: thank you Question: Option 1: I'm sorry, I didn't catch that. Can you please repeat what you said? **END** Option 2: I'm sorry, I didn't catch that. Can you please","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; Option 1: I'm sorry, I didn't catch that. Can you please repeat what you said?","Option 1: I'm sorry, I didn't catch that. Can you please repeat what you said?"
107,107,please let's do it,repeat;no;flip_coin;yes;goodbye;maybe,,,,
108,108,10-4,no;yes,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: no Option 2: yes Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: no Option 2: yes Question: Option 1: I'm sorry, I didn't catch that. Can you repeat that? Option 2: I'm sorry, I didn't catch that. Can you please repeat that? Question: **END** Set 4: Option 1:","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't catch that. Can you repeat that? Option 2: I'm sorry, I didn't catch that. Can you please repeat that? ;","Option 1: I'm sorry, I didn't catch that. Can you repeat that? Option 2: I'm sorry, I didn't catch that. Can you please repeat that?"
109,109,ya,no;greeting;yes;goodbye;maybe;thank_you,,,,
110,110,"help me plan my traveling itinerary for my trip to madrid, i want to see lots of sights!",book_flight;travel_suggestion,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: book flight Option 2: travel suggestion Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: book flight Option 2: travel suggestion Question: I understand you are looking to book a flight. Do you want me to help you find a flight or suggest a travel option? **END** Set 4: Option 1: cancel flight Option 2: change flight Question: I understand you need to make changes to your,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are looking to book a flight. Do you want me to help you find a flight or suggest a travel option? ; I understand you need to make changes to your,I understand you are looking to book a flight. Do you want me to help you find a flight or suggest a travel option?
111,111,help me pick a new location to travel to,book_hotel;travel_suggestion,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: book hotel Option 2: travel suggestion Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: book hotel Option 2: travel suggestion Question: Option 1: I'm sorry, I didn't catch that. Can you please repeat your request? **END** Option 2: I'm sorry, I didn't catch that. Can you please repeat your request? **END** Option 3: I'","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't catch that. Can you please repeat your request?","Option 1: I'm sorry, I didn't catch that. Can you please repeat your request?"
112,112,i want to explore a new place but don't know where i should go do you have any ideas,restaurant_suggestion;travel_suggestion,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: restaurant suggestion Option 2: travel suggestion Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: restaurant suggestion Option 2: travel suggestion Question: I'm sorry, I didn't catch that. Could you please repeat your last message? **END**","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I'm sorry, I didn't catch that. Could you please repeat your last message?","I'm sorry, I didn't catch that. Could you please repeat your last message?"
113,113,cross off grocery shopping from todo list,todo_list;todo_list_update,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: todo list Option 2: todo list update Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: todo list Option 2: todo list update Question: Option 1: todo list Option 2: todo list update Question: Option 1: todo list Option 2: todo list update Question: Option 1: todo list Option 2: todo list update Question: Option,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: todo list Option 2: todo list update ; Option 1: todo list Option 2: todo list update ; Option 1: todo list Option 2: todo list update ; Option,Option 1: todo list Option 2: todo list update
114,114,did i tell you to remind me about laundry,todo_list;reminder,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: todo list Option 2: reminder Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: todo list Option 2: reminder Question: Option 1: I understand you have a todo list. Do you need help with it or is it just a reminder? **END** Option 2: I understand you have a reminder. Do you need help with it or is it just a todo list? **END**,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I understand you have a todo list. Do you need help with it or is it just a reminder?,Option 1: I understand you have a todo list. Do you need help with it or is it just a reminder?
115,115,what kinds of things are you supposed to remind me of,reminder_update;reminder,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: reminder update Option 2: reminder Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: reminder update Option 2: reminder Question: Option 1: reminder update Option 2: reminder Question: I understand you need an update on your reminder. Is it an update or a reminder? **END** Option 1: reminder update Option 2: reminder Question: I,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: reminder update Option 2: reminder ; I understand you need an update on your reminder. Is it an update or a reminder? ; I,Option 1: reminder update Option 2: reminder
116,116,can you tell me the to do's on my reminder list,todo_list;reminder,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: todo list Option 2: reminder Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: todo list Option 2: reminder Question: Option 1: I understand you have a todo list. Do you need help with it or is it just a reminder? **END** Option 2: I understand you have a reminder. Do you need help with it or is it just a todo list? **END**,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I understand you have a todo list. Do you need help with it or is it just a reminder?,Option 1: I understand you have a todo list. Do you need help with it or is it just a reminder?
117,117,can you please remind me of the items that i made note of to not forget,order;shopping_list;todo_list;reminder_update;todo_list_update;reminder;shopping_list_update,,,,
118,118,can i change your talking voice,whisper_mode;change_language;change_accent;change_speed,,,,
119,119,you talk to slow,whisper_mode;change_speed,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: whisper mode Option 2: change speed Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: whisper mode Option 2: change speed Question: I understand you are trying to change the speed of your voice. Is it the whisper mode or the speed you want to change? **END** Set 4: Option 1: call me back Option 2: call me now Question: I understand you want to call me,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are trying to change the speed of your voice. Is it the whisper mode or the speed you want to change? ; I understand you want to call me,I understand you are trying to change the speed of your voice. Is it the whisper mode or the speed you want to change?
120,120,what is my apr rate,interest_rate;credit_limit;credit_score;w2;apr,,,,
121,121,is my apr rate above average,credit_score;apr,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit score Option 2: apr Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit score Option 2: apr Question: Option 1: credit limit Option 2: credit check Question: Option 1: interest rate Option 2: payment plan Question: Option 1: late fee Option 2: over limit Question: Option 1: balance,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: credit limit Option 2: credit check ; Option 1: interest rate Option 2: payment plan ; Option 1: late fee Option 2: over limit ; Option 1: balance,Option 1: credit limit Option 2: credit check
122,122,is my apr rate better than most,credit_score;apr,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit score Option 2: apr Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit score Option 2: apr Question: Option 1: credit limit Option 2: credit check Question: Option 1: interest rate Option 2: payment plan Question: Option 1: late fee Option 2: over limit Question: Option 1: balance,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: credit limit Option 2: credit check ; Option 1: interest rate Option 2: payment plan ; Option 1: late fee Option 2: over limit ; Option 1: balance,Option 1: credit limit Option 2: credit check
123,123,how much am i paying for apr on my credit card,credit_limit;apr,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit limit Option 2: apr Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit limit Option 2: apr Question: Option 1: credit limit Option 2: apr Question: What is the credit limit on your card? **END** Option 1: credit limit Option 2: apr Question: What is the annual percentage rate (APR) on your card? **END**,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: credit limit Option 2: apr ; What is the credit limit on your card? ; What is the annual percentage rate (APR) on your card?,Option 1: credit limit Option 2: apr
124,124,what's my apr rate,credit_score;apr,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit score Option 2: apr Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit score Option 2: apr Question: Option 1: credit limit Option 2: credit check Question: Option 1: interest rate Option 2: payment plan Question: Option 1: late fee Option 2: over limit Question: Option 1: balance,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: credit limit Option 2: credit check ; Option 1: interest rate Option 2: payment plan ; Option 1: late fee Option 2: over limit ; Option 1: balance,Option 1: credit limit Option 2: credit check
125,125,tell me my apr rate,interest_rate;credit_limit;credit_score;payday;w2;apr,,,,
126,126,is my meeting with frank on my calendar,meeting_schedule;calendar,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: meeting schedule Option 2: calendar Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: meeting schedule Option 2: calendar Question: Option 1: meeting schedule Option 2: calendar Question: I understand you have a meeting schedule. Is it on your calendar or not? **END** Set 4: Option 1: card not working Option 2: card swallowed Question: I understand,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: meeting schedule Option 2: calendar ; I understand you have a meeting schedule. Is it on your calendar or not? ; I understand,Option 1: meeting schedule Option 2: calendar
127,127,is the marathon on friday added to my calendar,calendar;calendar_update,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: calendar Option 2: calendar update Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: calendar Option 2: calendar update Question: Option 1: calendar update Option 2: calendar Question: I understand you need to update your calendar. Is it your calendar that needs updating or is it the calendar that needs updating? **END** Option 1: calendar Option 2: calendar update Question: I understand,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: calendar update Option 2: calendar ; I understand you need to update your calendar. Is it your calendar that needs updating or is it the calendar that needs updating? ; I understand,Option 1: calendar update Option 2: calendar
128,128,on tuesday you are supposed to have a meeting,schedule_meeting;meeting_schedule,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question: I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? **END** Set 4: Option 1: cancel meeting Option 2: meeting cancelled Question: I understand you need to cancel a meeting. Was the meeting,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? ; I understand you need to cancel a meeting. Was the meeting,I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled?
129,129,what is the current day,time;date,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: time Option 2: date Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: time Option 2: date Question: Option 1: time Option 2: date Question: I understand you are looking for the time or date. Which one are you looking for? **END** Option 1: time Option 2: date Question: I understand you are looking for the time or date.,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: time Option 2: date ; I understand you are looking for the time or date. Which one are you looking for? ; I understand you are looking for the time or date.,Option 1: time Option 2: date
130,130,what are the rules for traveling with toothpaste,accept_reservations;vaccines;international_visa;carry_on;plug_type;travel_alert;international_fees,,,,
131,131,i need to know how many days i toof off,pto_balance;pto_used,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto balance Option 2: pto used Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto balance Option 2: pto used Question: I understand you have a balance on your pto. Is it used or not? **END** Set 4: Option 1: pto request Option 2: pto denied Question: I understand you are requesting pto. Was your request denied or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have a balance on your pto. Is it used or not? ; I understand you are requesting pto. Was your request denied or,I understand you have a balance on your pto. Is it used or not?
